"Ticker,Seciruty,Sector,Industry"
"VRTX,Vertex Pharmaceuticals Inc,Health Care,Pharmaceuticals, Biotechnology & Life Sciences"
"VIAB,Viacom Inc,Consumer Discretionary,Media"
"V,Visa Inc,Information Technology,Software & Services"
"VNO,Vornado Realty Trust,Real Estate,Real Estate,"
"VMC,Vulcan Materials,Materials,Materials,"
"WMT,Wal-Mart Stores,Consumer Staples,Food & Staples Retailing"
"WBA,Walgreens Boots Alliance,Consumer Staples,Food & Staples Retailing"
"DIS,The Walt Disney Company,Consumer Discretionary,Media"
"WM,Waste Management Inc,Industrials,Commercial & Professional Services"
"WAT,Waters Corporation,Health Care,Health Care Equipment & Services"
"WEC,Wec Energy Group Inc,Utilities,Utilities,"
"WFC,Wells Fargo,Financials,Banks"
"HCN,Welltower Inc,Real Estate,Real Estate,"
"WDC,Western Digital,Information Technology,Technology Hardware & Equipment"
"WU,Western Union Co,Information Technology,Software & Services"
"WRK,WestRock Company,Materials,Materials,"
"WY,Weyerhaeuser Corp,Real Estate,Real Estate,"
"WHR,Whirlpool Corp,Consumer Discretionary,Consumer Durables & Apparel"
"WMB,Williams Cos,Energy,Energy,"
"WLTW,Willis Towers Watson,Financials,Insurance"
"WYN,Wyndham Worldwide,Consumer Discretionary,Consumer Services"
"WYNN,Wynn Resorts Ltd,Consumer Discretionary,Consumer Services"
"XEL,Xcel Energy Inc,Utilities,Utilities,"
"XRX,Xerox Corp,Information Technology,Technology Hardware & Equipment"
"XLNX,Xilinx Inc,Information Technology,Semiconductors & Semiconductor Equipment"
"XL,XL Capital,Financials,Insurance"
"XYL,Xylem Inc,Industrials,Capital Goods"
"YUM,Yum! Brands Inc,Consumer Discretionary,Consumer Services"
"ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment & Services"
"ZION,Zions Bancorp,Financials,Banks"
"ZTS,Zoetis,Health Care,Pharmaceuticals, Biotechnology & Life Sciences"
