'Tickers','Security','Sector','Industry'
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming
KORS,Michael Kors Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties
NWSA,News Corp. Class A,Consumer Discretionary,Publishing
NWS,News Corp. Class B,Consumer Discretionary,Publishing
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
JWN,Nordstrom,Consumer Discretionary,Department Stores
NCLH,Norwegian Cruise Line,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores
OMC,Omnicom Group,Consumer Discretionary,Advertising
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
ROST,Ross Stores,Consumer Discretionary,Apparel Retail
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,Cable & Satellite
SIG,Signet Jewelers,Consumer Discretionary,Specialty Stores
SNA,Snap-On Inc.,Consumer Discretionary,Household Appliances
SWK,Stanley Black & Decker,Consumer Discretionary,Household Appliances
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
TWX,Time Warner Inc.,Consumer Discretionary,Cable & Satellite
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores
TRIP,TripAdvisor,Consumer Discretionary,Internet & Direct Marketing Retail
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,Publishing
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,Publishing
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores
UAA,Under Armour Class A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
UA,Under Armour Class C,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
VIAB,Viacom Inc.,Consumer Discretionary,Cable & Satellite
DIS,The Walt Disney Company,Consumer Discretionary,Cable & Satellite
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances
WYN,Wyndham Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants
MO,Altria Group Inc,Consumer Staples,Tobacco
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products
BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats
CHD,Church & Dwight,Consumer Staples,Household Products
CLX,The Clorox Company,Consumer Staples,Household Products
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks
CL,Colgate-Palmolive,Consumer Staples,Household Products
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers
COTY,"Coty, Inc",Consumer Staples,Personal Products
CVS,CVS Health,Consumer Staples,Drug Retail
DPS,Dr Pepper Snapple Group,Consumer Staples,Soft Drinks
EL,Estee Lauder Cos.,Consumer Staples,Personal Products
GIS,General Mills,Consumer Staples,Packaged Foods & Meats
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats
KMB,Kimberly-Clark,Consumer Staples,Household Products
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats
KR,Kroger Co.,Consumer Staples,Food Retail
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats
MNST,Monster Beverage,Consumer Staples,Soft Drinks
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks
PM,Philip Morris International,Consumer Staples,Tobacco
PG,Procter & Gamble,Consumer Staples,Personal Products
SYY,Sysco Corp.,Consumer Staples,Food Distributors
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production
ANDV,Andeavor,Energy,Oil & Gas Refining & Marketing
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production
BHGE,"Baker Hughes, a GE Company",Energy,Oil & Gas Equipment & Services
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production
CHK,Chesapeake Energy,Energy,Oil & Gas Exploration & Production
CVX,Chevron Corp.,Energy,Integrated Oil & Gas
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production
DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services
HP,Helmerich & Payne,Energy,Oil & Gas Drilling
HES,Hess Corporation,Energy,Integrated Oil & Gas
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services
NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production
RRC,Range Resources Corp.,Energy,Oil & Gas Exploration & Production
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing
WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks
AFL,AFLAC Inc,Financials,Life & Health Insurance
ALL,Allstate Corp,Financials,Property & Casualty Insurance
AXP,American Express Co,Financials,Consumer Finance
AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks
AON,Aon plc,Financials,Insurance Brokers
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
AIZ,Assurant Inc,Financials,Multi-line Insurance
BAC,Bank of America Corp,Financials,Diversified Banks
BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks
BBT,BB&T Corporation,Financials,Regional Banks
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings
BLK,BlackRock,Financials,Asset Management & Custody Banks
HRB,Block H&R,Financials,Consumer Finance
BHF,Brighthouse Financial Inc,Financials,Life & Health Insurance
COF,Capital One Financial,Financials,Consumer Finance
CBOE,CBOE Holdings,Financials,Financial Exchanges & Data
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage
CB,Chubb Limited,Financials,Property & Casualty Insurance
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance
C,Citigroup Inc.,Financials,Diversified Banks
CFG,Citizens Financial Group,Financials,Regional Banks
CME,CME Group Inc.,Financials,Financial Exchanges & Data
CMA,Comerica Inc.,Financials,Diversified Banks
DFS,Discover Financial Services,Financials,Consumer Finance
ETFC,E*Trade,Financials,Investment Banking & Brokerage
RE,Everest Re Group Ltd.,Financials,Reinsurance
FITB,Fifth Third Bancorp,Financials,Regional Banks
BEN,Franklin Resources,Financials,Asset Management & Custody Banks
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance
HBAN,Huntington Bancshares,Financials,Regional Banks
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks
KEY,KeyCorp,Financials,Regional Banks
LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings
LNC,Lincoln National,Financials,Multi-line Insurance
L,Loews Corp.,Financials,Multi-line Insurance
MTB,M&T Bank Corp.,Financials,Regional Banks
MMC,Marsh & McLennan,Financials,Insurance Brokers
MET,MetLife Inc.,Financials,Life & Health Insurance
MCO,Moody's Corp,Financials,Financial Exchanges & Data
MS,Morgan Stanley,Financials,Investment Banking & Brokerage
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data
NAVI,Navient,Financials,Consumer Finance
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance
PNC,PNC Financial Services,Financials,Regional Banks
PFG,Principal Financial Group,Financials,Life & Health Insurance
PGR,Progressive Corp.,Financials,Property & Casualty Insurance
PRU,Prudential Financial,Financials,Life & Health Insurance
RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage
RF,Regions Financial Corp.,Financials,Regional Banks
SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data
STT,State Street Corp.,Financials,Asset Management & Custody Banks
STI,SunTrust Banks,Financials,Regional Banks
SYF,Synchrony Financial,Financials,Consumer Finance
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks
TMK,Torchmark Corp.,Financials,Life & Health Insurance
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance
USB,U.S. Bancorp,Financials,Diversified Banks
UNM,Unum Group,Financials,Life & Health Insurance
WFC,Wells Fargo,Financials,Diversified Banks
WLTW,Willis Towers Watson,Financials,Insurance Brokers
XL,XL Capital,Financials,Property & Casualty Insurance
ZION,Zions Bancorp,Financials,Regional Banks
ABT,Abbott Laboratories,Health Care,Health Care Equipment
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals
AET,Aetna Inc,Health Care,Managed Health Care
A,Agilent Technologies Inc,Health Care,Health Care Equipment
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology
ALGN,Align Technology,Health Care,Health Care Supplies
AGN,"Allergan, Plc",Health Care,Pharmaceuticals
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors
AMGN,Amgen Inc,Health Care,Biotechnology
ANTM,Anthem Inc.,Health Care,Managed Health Care
BAX,Baxter International Inc.,Health Care,Health Care Equipment
BDX,Becton Dickinson,Health Care,Health Care Equipment
BIIB,Biogen Inc.,Health Care,Biotechnology
BSX,Boston Scientific,Health Care,Health Care Equipment
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors
CELG,Celgene Corp.,Health Care,Biotechnology
CNC,Centene Corporation,Health Care,Managed Health Care
CERN,Cerner,Health Care,Health Care Technology
CI,CIGNA Corp.,Health Care,Managed Health Care
COO,The Cooper Companies,Health Care,Health Care Supplies
DHR,Danaher Corp.,Health Care,Health Care Equipment
DVA,DaVita Inc.,Health Care,Health Care Facilities
XRAY,Dentsply Sirona,Health Care,Health Care Supplies
EW,Edwards Lifesciences,Health Care,Health Care Equipment
EVHC,Envision Healthcare,Health Care,Health Care Services
ESRX,Express Scripts,Health Care,Health Care Distributors
GILD,Gilead Sciences,Health Care,Biotechnology
HCA,HCA Holdings,Health Care,Health Care Facilities
HSIC,Henry Schein,Health Care,Health Care Distributors
HOLX,Hologic,Health Care,Health Care Equipment
HUM,Humana Inc.,Health Care,Managed Health Care
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services
INCY,Incyte,Health Care,Biotechnology
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Service
JNJ,Johnson & Johnson,Health Care,Health Care Equipment
LH,Laboratory Corp. of America Holding,Health Care,Health Care Services
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals
MCK,McKesson Corp.,Health Care,Health Care Distributors
MDT,Medtronic plc,Health Care,Health Care Equipment
MRK,Merck & Co.,Health Care,Pharmaceuticals
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services
MYL,Mylan N.V.,Health Care,Pharmaceuticals
PDCO,Patterson Companies,Health Care,Health Care Supplies
PKI,PerkinElmer,Health Care,Health Care Equipment
PRGO,Perrigo,Health Care,Pharmaceuticals
PFE,Pfizer Inc.,Health Care,Pharmaceuticals
DGX,Quest Diagnostics,Health Care,Health Care Services
REGN,Regeneron,Health Care,Biotechnology
RMD,ResMed,Health Care,Health Care Equipment
SYK,Stryker Corp.,Health Care,Health Care Equipment
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment
UNH,United Health Group Inc.,Health Care,Managed Health Care
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities
VAR,Varian Medical Systems,Health Care,Health Care Equipment
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology
WAT,Waters Corporation,Health Care,Health Care Distributors
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment
ZTS,Zoetis,Health Care,Pharmaceuticals
MMM,3M Company,Industrials,Industrial Conglomerates
AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment
ALK,Alaska Air Group Inc,Industrials,Airlines
ALLE,Allegion,Industrials,Building Products
AAL,American Airlines Group,Industrials,Airlines
AME,AMETEK Inc,Industrials,Electrical Components & Equipment
AOS,A.O. Smith Corp,Industrials,Building Products
ARNC,Arconic Inc,Industrials,Aerospace & Defense
BA,Boeing Company,Industrials,Aerospace & Defense
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks
CTAS,Cintas Corporation,Industrials,Diversified Support Services
CSX,CSX Corp.,Industrials,Railroads
CMI,Cummins Inc.,Industrials,Industrial Machinery
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery
DAL,Delta Air Lines Inc.,Industrials,Airlines
DOV,Dover Corp.,Industrials,Industrial Machinery
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment
EFX,Equifax Inc.,Industrials,Research & Consulting Services
EXPD,Expeditors International,Industrials,Air Freight & Logistics
FAST,Fastenal Co,Industrials,Building Products
FDX,FedEx Corporation,Industrials,Air Freight & Logistics
FLS,Flowserve Corporation,Industrials,Industrial Machinery
FLR,Fluor Corp.,Industrials,Construction & Engineering
FTV,Fortive Corp,Industrials,Industrial Machinery
FBHS,Fortune Brands Home & Security,Industrials,Building Products
GD,General Dynamics,Industrials,Aerospace & Defense
GE,General Electric,Industrials,Industrial Conglomerates
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services
ITW,Illinois Tool Works,Industrials,Industrial Machinery
IR,Ingersoll-Rand PLC,Industrials,Industrial Machinery
JEC,Jacobs Engineering Group,Industrials,Construction & Engineering
JBHT,J. B. Hunt Transport Services,Industrials,Trucking
JCI,Johnson Controls International,Industrials,Building Products
KSU,Kansas City Southern,Industrials,Railroads
LLL,L-3 Communications Holdings,Industrials,Aerospace & Defense
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense
MAS,Masco Corp.,Industrials,Building Products
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services
NSC,Norfolk Southern Corp.,Industrials,Railroads
NOC,Northrop Grumman Corp.,Industrials,Aerospace & Defense
PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks
PH,Parker-Hannifin,Industrials,Industrial Machinery
PNR,Pentair Ltd.,Industrials,Industrial Machinery
PWR,Quanta Services Inc.,Industrials,Construction & Engineering
RTN,Raytheon Co.,Industrials,Aerospace & Defense
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services
RHI,Robert Half International,Industrials,Human Resource & Employment Services
ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment
COL,Rockwell Collins,Industrials,Aerospace & Defense
ROP,Roper Technologies,Industrials,Industrial Conglomerates
LUV,Southwest Airlines,Industrials,Airlines
SRCL,Stericycle Inc,Industrials,Environmental & Facilities Services
TXT,Textron Inc.,Industrials,Aerospace & Defense
TDG,TransDigm Group,Industrials,Aerospace & Defense
UNP,Union Pacific,Industrials,Railroads
UAL,United Continental Holdings,Industrials,Airlines
UPS,United Parcel Service,Industrials,Air Freight & Logistics
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors
UTX,United Technologies,Industrials,Aerospace & Defense
VRSK,Verisk Analytics,Industrials,Research & Consulting Services
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services
XYL,Xylem Inc.,Industrials,Industrial Machinery
ACN,Accenture plc,Information Technology,IT Consulting & Other Services
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software
ADBE,Adobe Systems Inc,Information Technology,Application Software
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services
GOOGL,Alphabet Inc Class A,Information Technology,Internet Software & Services
GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services
APH,Amphenol Corp,Information Technology,Electronic Components
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors
ANSS,ANSYS,Information Technology,Application Software
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment
ADSK,Autodesk Inc,Information Technology,Application Software
ADP,Automatic Data Processing,Information Technology,Internet Software & Services
AVGO,Broadcom,Information Technology,Semiconductors
CA,"CA, Inc.",Information Technology,Systems Software
CDNS,Cadence Design Systems,Information Technology,Application Software
CSCO,Cisco Systems,Information Technology,Communications Equipment
CTXS,Citrix Systems,Information Technology,Internet Software & Services
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services
GLW,Corning Inc.,Information Technology,Electronic Components
CSRA,CSRA Inc.,Information Technology,IT Consulting & Other Services
DXC,DXC Technology,Information Technology,IT Consulting & Other Services
EBAY,eBay Inc.,Information Technology,Internet Software & Services
EA,Electronic Arts,Information Technology,Home Entertainment Software
FFIV,F5 Networks,Information Technology,Communications Equipment
FB,"Facebook, Inc.",Information Technology,Internet Software & Services
FIS,Fidelity National Information Services,Information Technology,Internet Software & Services
FISV,Fiserv Inc,Information Technology,Internet Software & Services
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments
IT,Gartner Inc,Information Technology,IT Consulting & Other Services
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services
HRS,Harris Corporation,Information Technology,Communications Equipment
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals"
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
INTC,Intel Corp.,Information Technology,Semiconductors
IBM,International Business Machines,Information Technology,IT Consulting & Other Services
INTU,Intuit Inc.,Information Technology,Internet Software & Services
JNPR,Juniper Networks,Information Technology,Communications Equipment
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment
LRCX,Lam Research,Information Technology,Semiconductor Equipment
MA,Mastercard Inc.,Information Technology,Internet Software & Services
MCHP,Microchip Technology,Information Technology,Semiconductors
MU,Micron Technology,Information Technology,Semiconductors
MSFT,Microsoft Corp.,Information Technology,Systems Software
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment
NTAP,NetApp,Information Technology,Internet Software & Services
NFLX,Netflix Inc.,Information Technology,Internet Software & Services
NVDA,Nvidia Corporation,Information Technology,Semiconductors
ORCL,Oracle Corp.,Information Technology,Application Software
PAYX,Paychex Inc.,Information Technology,Internet Software & Services
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services
QRVO,Qorvo,Information Technology,Semiconductors
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors
RHT,Red Hat Inc.,Information Technology,Systems Software
CRM,Salesforce.com,Information Technology,Internet Software & Services
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals"
SWKS,Skyworks Solutions,Information Technology,Semiconductors
SYMC,Symantec Corp.,Information Technology,Application Software
SNPS,Synopsys Inc.,Information Technology,Application Software
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services
TXN,Texas Instruments,Information Technology,Semiconductors
TSS,Total System Services,Information Technology,Internet Software & Services
VRSN,Verisign Inc.,Information Technology,Internet Software & Services
V,Visa Inc.,Information Technology,Internet Software & Services
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals"
WU,Western Union Co,Information Technology,Internet Software & Services
XRX,Xerox Corp.,Information Technology,"Technology Hardware, Storage & Peripherals"
XLNX,Xilinx Inc,Information Technology,Semiconductors
APD,Air Products & Chemicals Inc,Materials,Industrial Gases
ALB,Albemarle Corp,Materials,Specialty Chemicals
AVY,Avery Dennison Corp,Materials,Paper Packaging
BLL,Ball Corp,Materials,Metal & Glass Containers
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals
DWDP,DowDuPont,Materials,Diversified Chemicals
EMN,Eastman Chemical,Materials,Diversified Chemicals
ECL,Ecolab Inc.,Materials,Specialty Chemicals
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals
FCX,Freeport-McMoRan Inc.,Materials,Copper
IP,International Paper,Materials,Paper Packaging
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals
LYB,LyondellBasell,Materials,Specialty Chemicals
MLM,Martin Marietta Materials,Materials,Construction Materials
MON,Monsanto Co.,Materials,Fertilizers & Agricultural Chemicals
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals
NEM,Newmont Mining Corporation,Materials,Gold
NUE,Nucor Corp.,Materials,Steel
PKG,Packaging Corporation of America,Materials,Paper Packaging
PPG,PPG Industries,Materials,Specialty Chemicals
PX,Praxair Inc.,Materials,Industrial Gases
SEE,Sealed Air,Materials,Paper Packaging
SHW,Sherwin-Williams,Materials,Specialty Chemicals
VMC,Vulcan Materials,Materials,Construction Materials
WRK,WestRock Company,Materials,Paper Packaging
ARE,Alexandria Real Estate Equities Inc,Real Estate,Office REITs
AMT,American Tower Corp A,Real Estate,Specialized REITs
AIV,Apartment Investment & Management,Real Estate,Residential REITs
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs
BXP,Boston Properties,Real Estate,Office REITs
CBG,CBRE Group,Real Estate,Real Estate Services
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs
DRE,Duke Realty Corp,Real Estate,Industrial REITs
EQIX,Equinix,Real Estate,Specialized REITs
EQR,Equity Residential,Real Estate,Residential REITs
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs
EXR,Extra Space Storage,Real Estate,Specialized REITs
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs
GGP,General Growth Properties Inc.,Real Estate,Retail REITs
HCP,HCP Inc.,Real Estate,Health Care REITs
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs
KIM,Kimco Realty,Real Estate,Retail REITs
MAC,Macerich,Real Estate,Retail REITs
MAA,Mid-America Apartments,Real Estate,Residential REITs
PLD,Prologis,Real Estate,Industrial REITs
PSA,Public Storage,Real Estate,Specialized REITs
O,Realty Income Corporation,Real Estate,Retail REITs
REG,Regency Centers Corporation,Real Estate,Retail REITs
SBAC,SBA Communications,Real Estate,Specialized REITs
SPG,Simon Property Group Inc,Real Estate,Retail REITs
SLG,SL Green Realty,Real Estate,Office REITs
UDR,UDR Inc,Real Estate,Residential REITs
VTR,Ventas Inc,Real Estate,Health Care REITs
